,sst,sst_lag_1d,sst_lag_2d,sst_lag_4d,sst_lag_7d,tp_mm_daily,tp_mm_daily_lag_1d,tp_mm_daily_lag_2d,tp_mm_daily_lag_4d,tp_mm_daily_lag_7d,mhw,mhw_lag_1d,mhw_lag_2d,mhw_lag_4d,mhw_lag_7d,sst_anom,sst_anom_lag_1d,sst_anom_lag_2d,sst_anom_lag_4d,sst_anom_lag_7d,tsm,tsm_lag_1d,tsm_lag_2d,tsm_lag_4d,tsm_lag_7d,chl,land_cov_near,ecoli_2class
57118,19.829987,19.649994,19.459991,18.980011,18.459991,0.0023841858,0.0,0.02527237,0.0,0.049591064,1.0,1.0,1.0,0.0,0.0,1.5441895,1.4368286,1.3815613,1.0952759,0.7526245,16.271137237548828,12.474272727966309,7.827479362487793,4.038503170013428,5.360779762268066,10.265862464904785,190,Caution
10387,17.410004,16.929993,16.089996,14.850006,14.170013,0.0,0.0,0.0,0.0,0.82683563,0.0,0.0,0.0,0.0,0.0,1.8173828,1.4126282,0.6447449,-0.5373535,-0.9673462,0.5862516164779663,0.4935854971408844,0.8915730714797974,0.4800199866294861,0.7317436933517456,0.7787004709243774,11,Good
32167,17.339996,17.23999,16.98999,16.269989,15.98999,0.0,0.0,0.00047683716,0.12731552,11.0144615,2.0,1.0,0.0,0.0,0.0,1.2799988,1.2452393,1.0505066,0.44000244,0.28631592,3.2266132831573486,0.8136119842529297,0.8135312795639038,2.2693119049072266,2.1100316047668457,2.729940414428711,190,Caution
74135,14.859985,14.839996,14.639984,13.950012,13.700012,0.06484985,0.0,0.0,0.0,2.8104782,0.0,0.0,0.0,0.0,0.0,1.0678711,1.1452637,1.041565,0.4963379,0.57159424,2.2743515968322754,2.8740367889404297,2.226107597351074,0.7107324004173279,1.9872578382492065,9.50721263885498,210,Good
17196,18.290009,18.179993,17.950012,17.889984,16.73999,7.245064,1.0147095,0.0,0.0023841858,0.9431839,1.0,1.0,1.0,1.0,1.0,2.907898,2.8721008,2.7215881,2.8499756,1.8873596,1.8417083024978638,2.3036932945251465,2.0898725986480713,2.355917453765869,2.162895917892456,2.0779545307159424,190,Good
70932,15.389984,15.269989,15.029999,14.160004,14.440002,1.185894,0.07867813,1.142025,2.7689934,0.020980835,1.0,1.0,1.0,0.0,0.0,0.8499756,0.6542053,0.3326416,-0.6199951,-0.5026245,0.5213747620582581,0.26487064361572266,0.5254305601119995,0.5516217947006226,2.3171961307525635,1.3529491424560547,11,Good
64633,20.880005,21.029999,21.0,21.130005,21.709991,0.15163422,0.9422302,0.13542175,0.008106232,2.3107529,3.0,2.0,2.0,2.0,2.0,2.3373718,2.464203,2.450531,2.550537,3.119995,5.495065689086914,2.9201369285583496,3.3567166328430176,5.566799163818359,19.90000343322754,4.601316452026367,190,Good
33877,18.970001,18.820007,19.130005,19.220001,19.040009,0.0,0.4529953,7.835388,3.2496452,0.0,0.0,0.0,0.0,0.0,0.0,0.6536865,0.50476074,0.7973633,0.8694763,0.6815796,21.343019485473633,25.363086700439453,7.406350612640381,8.358491897583008,5.4079670906066895,6.9001569747924805,190,Good
13444,17.529999,17.769989,17.959991,17.959991,17.73999,2.399683,0.48971176,3.2930374,0.0019073486,0.0,0.0,0.0,1.0,0.0,0.0,0.070007324,0.26150513,0.43447876,0.41098022,0.11682129,1.1323895454406738,1.2128080129623413,0.9370496273040771,0.671803891658783,0.6403429508209229,1.3642045259475708,11,Good
57052,20.160004,19.959991,19.889984,19.029999,18.320007,0.12111664,0.0,0.0019073486,0.0,0.005722046,3.0,3.0,2.0,1.0,1.0,3.0968323,3.0189514,3.0,2.2289429,1.6489563,1.5570530891418457,1.8322014808654785,2.143472909927368,2.9893500804901123,1.9097602367401123,2.8897573947906494,190,Caution
53228,19.309998,19.059998,19.160004,19.01001,18.920013,0.07677078,0.0,0.27942657,0.024795532,0.07915497,2.0,2.0,2.0,2.0,1.0,1.8894653,1.685791,1.8510437,1.7173767,1.8184509,1.8653497695922852,1.8434714078903198,0.798789918422699,5.486748695373535,2.2793619632720947,1.9106708765029907,190,Good
4152,16.160004,16.01001,15.779999,15.639984,14.850006,0.21028519,0.0,0.0,0.00047683716,0.52690506,0.0,0.0,0.0,0.0,0.0,-0.5021057,-0.59155273,-0.75790405,-0.7984314,-1.3873596,0.3700946867465973,0.36486881971359253,0.37716102600097656,0.2627545893192291,0.17537248134613037,0.9712690114974976,200,Good
58166,18.089996,18.230011,18.119995,17.649994,18.290009,0.0076293945,0.032424927,0.00667572,6.643772,1.1563301,0.0,0.0,0.0,0.0,0.0,-0.15158081,-0.021026611,-0.1347351,-0.48736572,0.29684448,2.435631036758423,15.247407913208008,11.974522590637207,1.8413277864456177,7.539944648742676,3.0210747718811035,190,Good
72820,14.0,14.26001,14.130005,13.779999,13.029999,0.48303604,0.87070465,0.34570694,0.084877014,0.30755997,2.0,2.0,2.0,1.0,1.0,2.0331726,2.4136963,2.3710632,2.215271,1.5857849,0.2763170599937439,0.42883336544036865,0.4797723889350891,0.5520926117897034,0.9297458529472351,0.6105979681015015,190,Good
24500,14.790009,15.089996,15.230011,15.139984,15.01001,0.8378029,1.308918,0.1821518,8.005619,0.0,0.0,0.0,0.0,0.0,0.0,-0.3336792,-0.07788086,0.0647583,0.112091064,0.2326355,0.25239744782447815,0.7777057886123657,0.4000469446182251,0.6475071907043457,0.32985159754753113,0.6929184794425964,130,Good
78528,13.480011,12.910004,12.889984,12.470001,12.480011,0.0,0.0,0.0,0.08583069,6.6776276,1.0,1.0,2.0,1.0,1.0,1.8773804,1.3721008,1.4678955,1.2168579,1.5236816,0.2913537621498108,0.26537081599235535,0.4680851697921753,0.661958634853363,0.7699598670005798,0.5393238663673401,190,Good
31088,16.600006,16.559998,16.75,16.980011,15.709991,5.0444603,3.771305,0.5092621,1.7514229,3.024578,0.0,0.0,0.0,0.0,0.0,1.371582,1.4142151,1.6668396,2.0615845,1.0889282,1.4038891792297363,0.676095187664032,1.6124837398529053,1.8463134765625,2.5601186752319336,1.4457390308380127,190,Good
67230,15.350006,15.339996,15.369995,15.049988,14.839996,0.0,0.0,0.0019073486,0.00047683716,0.0,2.0,2.0,2.0,2.0,2.0,1.5878906,1.665802,1.7879028,1.6784058,1.7542114,2.717106342315674,2.406266927719116,2.316429615020752,2.293545961380005,2.4006881713867188,4.519196510314941,210,Caution
29841,13.089996,12.970001,13.019989,13.25,12.679993,0.0047683716,0.00667572,0.006198883,0.0042915344,0.5874634,0.0,0.0,0.0,0.0,0.0,0.2663269,0.26211548,0.44210815,0.98526,0.7457886,0.949887752532959,0.6395049095153809,0.8485576510429382,0.4862750172615051,0.2134605497121811,1.6258032321929932,130,Good
68202,17.380005,17.380005,17.329987,17.190002,17.040009,0.44107437,0.24223328,0.1244545,0.1654625,8.425713,2.0,2.0,2.0,2.0,1.0,2.7015686,2.7068481,2.655243,2.6515808,2.5710754,0.3484106957912445,0.43441829085350037,0.42155954241752625,0.37700727581977844,0.5782901048660278,0.5415319800376892,210,Good
64088,20.559998,20.429993,20.359985,20.160004,20.200012,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.9036865,2.7973633,2.7436829,2.6100159,2.8658142,1.1204843521118164,1.251065731048584,1.5921021699905396,1.4608426094055176,1.9060393571853638,1.385298252105713,190,Good
7173,9.380005,9.209991,9.029999,8.540009,8.329987,0.4582405,0.0,0.0,0.0,1.0442734,0.0,0.0,0.0,0.0,0.0,-0.87893677,-0.980011,-1.0815735,-1.3862915,-1.2731628,3.6164517402648926,1.8934907913208008,3.2699625492095947,5.427797794342041,5.22415018081665,4.106870174407959,10,Good
48390,14.0,13.940002,13.889984,13.600006,13.76001,10.886669,5.3224564,7.226944,26.411057,12.338638,0.0,0.0,0.0,1.0,1.0,0.71157837,0.7105408,0.72946167,0.67788696,1.066864,0.27510643005371094,0.16948498785495758,0.34508439898490906,0.251803994178772,0.28645575046539307,0.5880528688430786,110,Good
78451,13.660004,13.269989,13.139984,12.790009,12.429993,0.002861023,0.005722046,0.13065338,0.53691864,0.06866455,1.0,2.0,1.0,1.0,1.0,2.4231567,2.1273499,2.0884094,1.9147339,1.8068237,1.2418432235717773,1.7292429208755493,1.9323797225952148,1.5502897500991821,1.4673668146133423,3.6918485164642334,210,Good
52133,18.079987,18.480011,18.829987,19.420013,19.600006,0.0,7.2598457,0.01001358,0.2374649,0.6456375,0.0,1.0,1.0,1.0,1.0,0.14749146,0.49850464,0.84747314,1.2865295,1.3237,6.872798442840576,10.941009521484375,17.710800170898438,8.664200782775879,3.9754562377929688,6.013228416442871,190,Good
76935,16.880005,16.670013,16.630005,16.700012,17.299988,1.1615753,0.29802322,0.19598007,16.091347,0.038146973,0.0,0.0,0.0,0.0,0.0,0.32052612,0.05947876,0.030517578,0.14108276,0.6531372,0.5019293427467346,0.6733039617538452,1.0409201383590698,0.5422456860542297,0.20484307408332825,1.4189753532409668,190,Good
23001,14.029999,14.079987,13.920013,13.529999,12.959991,0.0076293945,0.0,0.0,0.0,6.7896843,0.0,0.0,0.0,0.0,0.0,0.08105469,0.15841675,0.19107056,-0.01473999,-0.2826538,1.9921112060546875,2.2609124183654785,1.496073842048645,2.6050283908843994,2.0593087673187256,6.42929220199585,190,Good
58040,17.559998,17.48999,17.380005,17.76001,17.869995,0.0023841858,0.038146973,5.628109,14.577389,0.42152405,0.0,0.0,0.0,0.0,0.0,0.13421631,0.12631226,0.073150635,0.5210571,0.8200073,2.3430516719818115,0.5739166140556335,0.37665465474128723,11.590123176574707,1.6162903308868408,2.1671948432922363,190,Good
54111,10.359985,10.26001,10.100006,10.410004,10.019989,1.4896393,1.642704,1.57547,8.442402,0.39625168,0.0,0.0,0.0,0.0,0.0,-0.012634277,-0.037353516,-0.15631104,0.2842102,0.106292725,3.0933077335357666,2.004770278930664,6.582264423370361,1.8793673515319824,2.315765380859375,3.581834554672241,200,Good
47196,12.269989,12.320007,12.429993,12.220001,11.859985,0.0,0.0,0.0,0.0743866,0.9818077,1.0,1.0,1.0,0.0,0.0,1.334198,1.5057983,1.7605286,1.707367,1.5441895,2.1516835689544678,2.2778828144073486,2.1171889305114746,1.8774324655532837,2.407386541366577,3.277778148651123,190,Good
